Product_ID,front_image,back_image_1,back_image_2,num_unique_images,image_processing_success
SSH272,,,,0,False
SSH273,,,,0,False
B274,,,,0,False
B275,,,,0,False
B276,,,,0,False
B277,,,,0,False
B278,,,,0,False
B279,,,,0,False
B280,,,,0,False
B281,,,,0,False
B282,,,,0,False
B283,,,,0,False
B284,,,,0,False
B285,,,,0,False
B286,,,,0,False
B287,,,,0,False
B288,,,,0,False
B289,,,,0,False
B290,,,,0,False
B291,,,,0,False
B292,,,,0,False
B293,,,,0,False
B294,,,,0,False
B295,,,,0,False
B296,,,,0,False
B297,,,,0,False
B298,,,,0,False
B299,,,,0,False
B300,,,,0,False
B301,,,,0,False
B29,,,,0,False
BI1,,,,0,False
BI2,,,,0,False
BI3,,,,0,False
BI4,,,,0,False
BI5,processed_images\BI5_1.jpg,processed_images\BI5_2.jpg,,2,True
BI6,processed_images\BI6_1.jpg,processed_images\BI6_2.jpg,,2,True
BI7,,,,0,False
BI8,,,,0,False
BI9,,,,0,False
BI10,,,,0,False
BI11,processed_images\BI11_1.jpg,processed_images\BI11_2.jpg,,2,True
BI12,processed_images\BI12_1.jpg,processed_images\BI12_2.jpg,,2,True
BI13,processed_images\BI13_1.jpg,processed_images\BI13_2.jpg,processed_images\BI13_3.jpg,3,True
BI14,processed_images\BI14_1.jpg,processed_images\BI14_2.jpg,processed_images\BI14_3.jpg,3,True
BI15,,,,0,False
FW1,,,,0,False
FW2,,,,0,False
FW3,,,,0,False
FW4,,,,0,False
FW5,,,,0,False
FW6,,,,0,False
AW1,,,,0,False
AW2,,,,0,False
AW3,,,,0,False
AW4,processed_images\AW4_1.jpg,processed_images\AW4_2.jpg,,2,True
AW5,processed_images\AW5_1.jpg,processed_images\AW5_2.jpg,,2,True
AW6,,,,0,False
AW7,processed_images\AW7_1.jpg,processed_images\AW7_2.jpg,,2,True
AW8,,,,0,False
AW9,,,,0,False
AW10,,,,0,False
AW11,,,,0,False
AW12,,,,0,False
AW13,,,,0,False
AW14,processed_images\AW14_1.jpg,processed_images\AW14_2.jpg,,2,True
AW15,,,,0,False
P1,,,,0,False
P2,,,,0,False
P3,processed_images\P3_1.jpg,processed_images\P3_2.jpg,,2,True
P4,processed_images\P4_1.jpg,processed_images\P4_2.jpg,,2,True
P5,processed_images\P5_1.jpg,processed_images\P5_2.jpg,,2,True
P6,processed_images\P6_1.jpg,processed_images\P6_2.jpg,,2,True
P7,processed_images\P7_1.jpg,processed_images\P7_2.jpg,,2,True
P8,processed_images\P8_1.jpg,processed_images\P8_2.jpg,,2,True
