product_id,NOVA_Predicted,nutrient_profile,High_Sodium_Predicted,High_Sugar_Predicted,High_Fat_Predicted,High_Sat_Fat_Predicted,High_Added_Sugar_Predicted,High_Energy_Predicted
HSC156,Ultra Processed,0,False,False,False,False,False,False
HSC157,Minimally Processed,0,False,False,False,False,False,False
HSC158,Minimally Processed,0,False,False,False,False,False,False
HSC159,Processed,0,False,False,False,False,False,False
HSC160,Ultra Processed,1,True,False,False,False,False,False
HSC161,Ultra Processed,1,True,False,False,False,False,False
HSC162,Ultra Processed,2,True,True,False,False,False,False
HSC163,Ultra Processed,1,True,False,False,False,False,False
HSC164,Ultra Processed,0,False,False,False,False,False,False
HSC165,Processed,2,False,True,True,False,False,False
HSC166,Ultra Processed,2,True,True,False,False,False,False
HSC31,Minimally Processed,0,False,False,False,False,False,False
HSC32,Ultra Processed,0,False,False,False,False,False,False
HSC33,Processed,0,False,False,False,False,False,False
HSC34,Minimally Processed,0,False,False,False,False,False,False
HSC35,Minimally Processed,0,False,False,False,False,False,False
HSC36,Ultra Processed,0,False,False,False,False,False,False
HSC37,Minimally Processed,0,False,False,False,False,False,False
HSC38,Ultra Processed,0,False,False,False,False,False,False
HSC39,Ultra Processed,0,False,False,False,False,False,False
NS167,Processed,2,False,False,True,True,False,False
NS168,Processed Culinary Ingredients,2,False,False,True,True,False,False
NS169,Processed,0,False,False,False,False,False,False
NS170,Processed,3,True,False,True,True,False,False
NS171,Processed,3,True,False,True,True,False,False
NS172,Processed,0,False,False,False,False,False,False
NS173,Processed,2,False,False,True,True,False,False
NS174,Processed,2,False,False,True,True,False,False
NS175,Ultra Processed,1,False,False,True,False,False,False
NS176,Processed,2,False,False,True,True,False,False
NS177,Processed,2,False,False,True,True,False,False
NS178,Processed,0,False,False,False,False,False,False
NS179,Processed,2,False,False,True,True,False,False
NS180,Processed Culinary Ingredients,0,False,False,False,False,False,False
NS181,Processed Culinary Ingredients,0,False,False,False,False,False,False
NS182,Ultra Processed,2,False,False,True,True,False,False
NS183,Processed,2,False,False,True,True,False,False
NS184,Processed,2,False,False,True,True,False,False
NS185,Minimally Processed,2,False,False,True,True,False,False
NS186,Ultra Processed,0,False,False,False,False,False,False
NS187,Processed Culinary Ingredients,2,False,False,True,True,False,False
NS188,Processed,2,False,False,True,True,False,False
NS189,Minimally Processed,2,False,False,True,True,False,False
NS190,Processed,2,False,False,True,True,False,False
NS191,Processed,0,False,False,False,False,False,False
NS192,Minimally Processed,0,False,False,False,False,False,False
NS193,Processed,0,False,False,False,False,False,False
CS194,Processed,2,False,False,True,True,False,False
CS195,Processed Culinary Ingredients,3,True,False,True,True,False,False
CS196,Ultra Processed,2,True,False,True,False,False,False
CS197,Ultra Processed,3,True,False,True,True,False,False
CS198,Processed Culinary Ingredients,2,False,False,True,True,False,False
CS199,Ultra Processed,2,True,False,True,False,False,False
CS200,Ultra Processed,1,False,True,False,False,False,False
CS201,Ultra Processed,3,True,False,True,True,False,False
CS202,Ultra Processed,3,False,True,True,True,False,False
CS203,Minimally Processed,3,False,True,True,True,False,False
CS204,Ultra Processed,2,True,False,True,False,False,False
CS205,Ultra Processed,3,True,False,True,True,False,False
CS1,Ultra Processed,1,False,False,True,False,False,False
CS206,Ultra Processed,0,False,False,False,False,False,False
CS207,Processed,0,False,False,False,False,False,False
CS208,Ultra Processed,3,True,False,True,True,False,False
CS209,Processed,3,False,True,True,True,False,False
CS210,Ultra Processed,2,True,False,True,False,False,False
CS211,Processed,0,False,False,False,False,False,False
CS212,Ultra Processed,2,True,True,False,False,False,False
CS213,Ultra Processed,2,True,False,True,False,False,False
CS214,Minimally Processed,3,True,False,True,True,False,False
Y215,Minimally Processed,3,True,False,True,True,False,False
Y216,Processed Culinary Ingredients,3,True,False,True,True,False,False
Y217,Ultra Processed,0,False,False,False,False,False,False
Y218,Processed,0,False,False,False,False,False,False
Y219,Ultra Processed,3,True,True,False,True,False,False
Y220,Minimally Processed,0,False,False,False,False,False,False
Y221,Ultra Processed,2,False,True,False,True,False,False
Y222,Ultra Processed,0,False,False,False,False,False,False
Y223,Ultra Processed,0,False,False,False,False,False,False
Y224,Ultra Processed,1,False,True,False,False,False,False
Y225,Ultra Processed,1,False,True,False,False,False,False
Y226,Ultra Processed,0,False,False,False,False,False,False
Y227,Ultra Processed,0,False,False,False,False,False,False
Y228,Processed,0,False,False,False,False,False,False
Y229,Processed,1,False,True,False,False,False,False
Y230,Processed,1,False,True,False,False,False,False
Y231,Ultra Processed,0,False,False,False,False,False,False
Y232,Ultra Processed,1,False,True,False,False,False,False
Y233,Minimally Processed,0,False,False,False,False,False,False
Y234,Minimally Processed,0,False,False,False,False,False,False
Y235,Ultra Processed,0,False,False,False,False,False,False
Y236,Ultra Processed,2,True,True,False,False,False,False
Y237,Ultra Processed,1,False,True,False,False,False,False
Y238,Ultra Processed,0,False,False,False,False,False,False
Y239,Ultra Processed,0,False,False,False,False,False,False
